Os,0.46337987997548663
Co,0.30557324166099686
Hg,0.6823365956722567
Tl,0.41958181599604494
Pt,0.6897540521082283
Rb,-0.021868472877431877
Mg,-0.5992864013428723
Cs,-0.038281610968120106
Y,-1.554434675237621
In,0.23228598431046255
V,-0.9196374513960182
Zr,-1.5739418591130896
Al,-1.1817746350523928
Ru,0.4039427486637548
Ti,-1.5106137402170807
Ir,0.5727023257073807
Cr,-0.2654781027983102
Sc,-1.7287629580804058
K,-0.02699376178160673
Ag,0.7291961748584832
Au,0.4686975755203087
Ta,-0.9734372812124134
Mo,-0.23056922825818393
Ni,0.21146826088480752
Mn,-0.07257263718604268
Ca,-0.611853565772791
Fe,0.13590585645031794
W,-0.2676851449941381
Nb,-0.9869389912998381
Ba,-0.36028698862650305
Sr,-0.278860924055684
Rh,0.5969573078296241
Hf,-1.4794292080062448
Re,0.1906239868249339
Cd,0.5826520466849995
Ga,-0.2632859755491941
B,-1.1430520944926217
Pd,0.39223754468200767
Be,-0.8859298210864395
Zn,0.24676730020815754
Na,0.013430811600123604
Li,-0.25234096535896056
Cu,0.3680602800562043
